"name","tests","assertions","failures","errors","skipped"
"Tests\Unit\ExampleTest","1","1","0","0","0"
"Tests\Unit\MatchingEngineTest","17","126","0","0","0"
"Tests\Unit\TestDatabaseGuardTest","10","19","0","0","0"
"Tests\Feature\AdminComplianceAndGovernanceTest","6","50","0","0","0"
"Tests\Feature\AdminInsightTest","40","128","0","0","0"
"Tests\Feature\AdminLoginTest","3","19","0","0","0"
"Tests\Feature\AdminMiddlewareSecurityTest","3","17","0","0","0"
"Tests\Feature\AdminReputationAuditTest","2","9","0","0","0"
"Tests\Feature\AdminUserDirectoryTest","6","100","0","0","0"
"Tests\Feature\AdminVerificationDecisionTest","6","63","0","0","0"
"Tests\Feature\AdminVerificationReviewTest","7","41","0","0","0"
"Tests\Feature\AiFoundationTest","19","96","0","0","0"
"Tests\Feature\AiPhase5EvaluationTest","55","132","0","0","0"
"Tests\Feature\ApiFoundationTest","10","48","0","0","0"
"Tests\Feature\AuthenticationTest","20","136","0","0","0"
"Tests\Feature\BusinessAnalysisTest","48","520","0","0","0"
"Tests\Feature\BusinessApprovalAndPublishingTest","8","39","0","0","0"
"Tests\Feature\BusinessAuthorizationTest","14","136","0","0","0"
"Tests\Feature\BusinessConnectionApiTest","25","134","0","0","0"
"Tests\Feature\BusinessConnectionConcurrencyTest","1","11","0","0","0"
"Tests\Feature\BusinessConnectionServiceTest","4","10","0","0","0"
"Tests\Feature\BusinessDisclosureApiTest","27","116","0","0","0"
"Tests\Feature\BusinessDisclosureTest","11","64","0","0","0"
"Tests\Feature\BusinessDocumentAuthorizationTest","13","109","0","0","0"
"Tests\Feature\BusinessDocumentTest","9","123","1","0","0"
"Tests\Feature\BusinessNarrativeAnalysisTest","31","313","0","0","0"
"Tests\Feature\BusinessNdaApiTest","23","137","0","0","0"
"Tests\Feature\BusinessNdaDealLifecycleTest","10","65","0","0","0"
"Tests\Feature\BusinessNdaFoundationTest","5","18","0","0","0"
"Tests\Feature\BusinessNdaServiceTest","15","51","0","0","0"
"Tests\Feature\BusinessPhotoUploadTest","4","23","0","0","0"
"Tests\Feature\BusinessRequirementDetailsTest","28","187","0","0","0"
"Tests\Feature\BusinessRequirementsTest","20","129","0","0","0"
"Tests\Feature\BusinessSubmissionTest","13","98","0","0","0"
"Tests\Feature\DealApiTest","22","77","0","0","0"
"Tests\Feature\DealAuthorizationMatrixTest","6","172","0","0","0"
"Tests\Feature\DealFeedbackTest","6","83","0","0","0"
"Tests\Feature\DealInsightFoundationTest","51","103","0","0","0"
"Tests\Feature\DealInsightGenerationTest","13","95","0","0","0"
"Tests\Feature\DealMessageTest","13","71","0","0","0"
"Tests\Feature\DealMilestoneTest","38","222","0","0","0"
"Tests\Feature\DealNegotiationAndAgreementTest","15","94","0","0","0"
"Tests\Feature\DealServiceTest","5","10","0","0","0"
"Tests\Feature\DisclosureInterestSynchronizationTest","24","124","0","0","0"
"Tests\Feature\ExampleTest","1","1","0","0","0"
"Tests\Feature\FinancialReportingIntegrationTest","7","58","0","0","0"
"Tests\Feature\FinancialReportingTest","17","96","0","0","0"
"Tests\Feature\MatchingCompletenessTest","11","83","0","0","0"
"Tests\Feature\MatchingInsightEvaluationTest","38","96","0","0","0"
"Tests\Feature\MatchingInsightFoundationTest","29","66","0","0","0"
"Tests\Feature\MatchingInsightGenerationTest","10","52","0","0","0"
"Tests\Feature\MatchingRecommendationTest","13","136","0","0","0"
"Tests\Feature\NotificationTest","15","32","0","0","0"
"Tests\Feature\ParticipantRoleManagementTest","6","23","0","0","0"
"Tests\Feature\PhoneDeliveryInfrastructureTest","9","45","0","0","0"
"Tests\Feature\PhoneVerificationConcurrencyTest","3","20","0","0","0"
"Tests\Feature\PhoneVerificationTest","12","159","0","0","0"
"Tests\Feature\ProfileDataTest","37","205","0","0","0"
"Tests\Feature\ReadinessAssessmentConcurrencyTest","1","13","0","0","0"
"Tests\Feature\ReadinessAssessmentTest","13","200","1","0","0"
"Tests\Feature\ReadinessInputAuthorizationTest","5","50","0","0","0"
"Tests\Feature\ReadinessInputTest","30","244","0","0","0"
"Tests\Feature\ReadinessInsightTest","8","170","0","0","0"
"Tests\Feature\ReadinessScoringTest","6","198","0","0","0"
"Tests\Feature\ReputationSummaryTest","4","34","0","0","0"
"Tests\Feature\RoleProfileTest","24","142","0","0","0"
"Tests\Feature\SelfMatchDetailTest","11","63","0","0","0"
"Tests\Feature\SettingsTest","14","53","0","0","0"
"Tests\Feature\StageFourServiceTest","14","31","0","0","0"
"Tests\Feature\StagedDocumentAccessTest","28","55","0","0","0"
"Tests\Feature\TestDatabaseSafetyTest","3","6","0","0","0"
"Tests\Feature\UserPhotoUploadTest","4","19","0","0","0"
"Tests\Feature\UserProfilePersistenceTest","3","18","0","0","0"
"Tests\Feature\VerificationEvidenceUploadTest","13","68","0","0","0"
"Tests\Feature\VerificationFoundationTest","9","37","0","0","0"
"Tests\Feature\VerificationGatingTest","8","48","0","0","0"
"Tests\Feature\VerificationInfrastructureTest","8","90","0","0","0"
"Tests\Feature\VerificationProfileIntegrationTest","8","49","0","0","0"
"Tests\Feature\VerificationRequestCreationTest","10","53","0","0","0"
