"File","Tests","Passed","Failed"
"admin-insights.test.tsx","11","11","0"
"admin-users.test.tsx","6","6","0"
"admin-verification-infrastructure.test.tsx","9","9","0"
"ai-phase6-contract.test.tsx","4","4","0"
"api-envelope.test.tsx","2","2","0"
"app-routes.test.tsx","3","3","0"
"business-analysis.test.tsx","16","16","0"
"deal-hub-routing.test.tsx","10","10","0"
"deal-insights.test.tsx","16","16","0"
"deal-room-messages.test.tsx","6","6","0"
"deal-room-transition.test.tsx","7","7","0"
"discover-businesses.test.tsx","4","4","0"
"email-verification-navigation.test.tsx","1","1","0"
"feedback-flow.test.tsx","8","8","0"
"founder-businesses.test.tsx","10","10","0"
"founder-professional-interest.test.tsx","16","15","1"
"matching-insights.test.tsx","20","20","0"
"milestone-tracking.test.tsx","5","5","0"
"nda-state-loading.test.tsx","14","14","0"
"participant-verification-api.test.tsx","6","6","0"
"participant-verification.test.tsx","38","38","0"
"phase06.test.tsx","26","26","0"
"phase07.test.tsx","6","6","0"
"phase08.test.tsx","3","3","0"
"phase09.test.tsx","6","6","0"
"phase10.test.tsx","8","8","0"
"professional-apply-flow.test.tsx","11","11","0"
"profile-edit-modal-roles.test.tsx","7","7","0"
"profile-photo.test.tsx","7","7","0"
"readiness-insights.test.tsx","9","9","0"
"saved-opportunities.test.tsx","6","6","0"
